InputSize,Encode_NoTest,Encode_WithTest,Decode_NoTest,Decode_WithTest
100,0.0006967910012463108,0.0006874579994473606,0.0002119169985235203,0.00019620900093286764
1000,0.007279542000105721,0.006875082999613369,0.00201033300072595,0.0019335420001880266
2000,0.014217500000086147,0.014256790998842916,0.003853917000014917,0.003958290999435121
3000,0.022208374999536318,0.02112291599951277,0.005848999999216176,0.00590537499920174
4000,0.028504375000920845,0.028711707998809288,0.00788999999895168,0.007943417000205955
5000,0.03590737500053365,0.03508775000045716,0.00992249999944761,0.010019208000812796
6000,0.043647415999657824,0.043494292000104906,0.012333792001300026,0.012026917000184767
7000,0.050746417000482325,0.05020554200018523,0.014016999999512336,0.013974249999591848
8000,0.05781237500013958,0.05844854200040572,0.016007583000828163,0.016028625001126784
9000,0.06439595899973938,0.06493383399902086,0.01788954199946602,0.01797450000049139
10000,0.07431416699910187,0.07149412500075414,0.019863250001435517,0.020000332999188686
